iter	Passed	Remaining
373	585370	979791
374	587135	978558
375	587211	974521
376	594491	982409
377	595103	979244
378	598840	981212
379	605708	988261
380	605922	984425
381	606072	980504
382	607008	977869
383	607157	973981
384	607404	970269
385	607763	966753
386	607921	962934
387	608085	959145
388	615819	967263
389	619475	968923
390	619570	965008
391	626545	971784
392	626715	967980
393	627088	964506
394	634245	971439
395	635933	969958
396	636469	966727
397	643348	973105
398	646710	974117
399	653315	979972
400	653405	976035
401	653489	972105
402	654398	969419
403	654560	965638
404	654673	961803
405	654773	957969
406	661839	964301
407	661959	960490
408	662151	956800
409	663103	954222
410	670490	960873
411	671423	958244
412	671653	954625
413	671905	951054
414	672075	947383
415	672323	943838
416	672415	940091
417	672621	936520
418	679215	941824
419	680818	940178
420	680952	936511
421	681059	932825
422	681992	930282
423	682091	926614
424	682564	923469
425	689291	928763
426	689447	925183
427	689676	921716
428	696577	927146
429	696805	923672
430	700335	924573
431	703848	925430
432	703949	921799
433	704307	918520
434	704431	914951
435	704620	911482
436	705488	908902
437	705569	905319
438	705641	901742
439	705825	898322
440	709303	899093
441	709425	895609
442	716301	900631
443	717906	898999
444	718069	895569
445	718156	892060
446	718354	888702
447	718460	885246
448	719396	882823
449	719751	879696
450	720308	876827
451	720476	873498
452	720614	870145
453	720685	866727
454	720818	863397
455	723904	863605
456	730585	868070
457	732263	866565
458	735912	867382
459	742737	871909
460	750002	876900
461	750383	873823
462	751292	871369
463	751419	868018
464	752281	865527
465	753972	863994
466	760511	867992
467	760706	864734
468	760927	861519
469	761002	858151
470	761071	854791
471	764776	855512
472	764866	852187
473	764960	848880
474	766657	847357
475	767141	844499
476	767217	841204
477	767465	838110
478	767625	834933
479	767800	831784
480	767961	828632
481	768077	825443
482	768209	822286
483	775055	826298
484	781980	830350
485	782592	827680
486	789780	831945
487	790759	829649
488	790869	826450
489	791407	823710
490	791646	820668
491	792609	818385
492	792699	815210
493	792848	812108
494	793200	809224
495	793284	806079
496	800031	809690
497	801592	808030
498	801945	805159
499	808750	808750
500	812555	809311
501	812718	806242
502	813049	803351
503	813138	800231
504	813291	797186
505	813564	794270
506	820387	797733
507	820548	794704
508	820846	791818
509	821078	788879
510	821948	786561
511	822107	783571
512	822240	780567
513	823158	778317
514	823302	775343
515	829885	778419
516	837401	782330
517	837560	779351
518	837787	776446
519	845327	780301
520	845735	777557
521	845813	774518
522	845883	771484
523	846042	768542
524	846989	766323
525	847106	763362
526	847975	761085
527	848219	758256
528	849104	756008
529	849233	753093
530	849397	750221
531	856336	753318
532	857206	751060
533	864203	754155
534	871607	757565
535	874982	757447
536	881653	760159
537	882239	757610
538	882599	754876
539	882682	751914
540	883007	749169
541	883207	746326
542	884931	744776
543	885273	742067
544	885374	739165
545	886304	736963
546	892949	739499
547	893022	736580
548	894604	734911
549	896227	733277
550	896617	730637
551	898256	729019
552	898413	726204
553	904944	728529
554	905523	726050
555	911918	728222
556	912162	725472
557	912366	722699
558	913989	721054
559	914352	718420
560	915225	716192
561	921777	718396
562	928421	720639
563	928535	717803
564	930060	716064
565	930220	713278
566	930310	710448
567	930405	707632
568	930608	704907
569	930762	702153
570	930901	699398
571	937595	701557
572	937749	698811
573	937942	696103
574	938101	693379
575	938209	690626
576	938381	687929
577	938484	685190
578	938998	682760
579	939122	680054
580	939489	677531
581	939637	674859
582	939761	672179
583	939871	669497
584	940046	666870
585	940202	664238
586	940593	661780
587	947532	663917
588	947657	661268
589	947898	658709
590	948078	656115
591	948194	653485
592	948344	650887
593	948491	648295
594	953841	649253
595	957340	648935
596	964075	650791
597	970996	652743
598	978000	654721
599	978096	652064
600	978218	649432
601	979106	647316
602	979223	644696
603	979573	642236
604	979812	639712
605	979954	637132
606	980084	634552
607	980268	632015
608	980401	629453
609	980538	626901
610	980693	624369
611	980773	621797
612	981100	619389
613	981221	616859
614	981386	614364
615	984613	613784
616	985521	611758
617	985756	609318
618	985983	606881
619	989076	606208
620	989183	603704
621	989515	601345
622	989699	598903
623	989862	596455
624	990180	594108
625	990686	591880
626	991150	589631
627	992018	587628
628	992175	585209
629	993044	583216
630	993229	580826
631	993368	578417
632	1000086	579828
633	1001011	577870
634	1008003	579403
635	1008265	577057
636	1008833	574892
637	1014953	575882
638	1015071	573459
639	1015632	571293
640	1023032	572961
641	1023151	570542
642	1023338	568167
643	1023564	565821
644	1024091	563647
645	1024252	561277
646	1024359	558885
647	1028317	558592
648	1028589	556294
649	1028716	553924
650	1028888	551585
651	1028965	549202
652	1029527	547084
653	1030474	545174
654	1037245	546335
655	1037372	543987
656	1037636	541719
657	1037783	539395
658	1044298	540372
659	1050867	541356
660	1058563	542894
661	1061945	542201
662	1062052	539836
663	1068899	540888
664	1069846	538945
665	1070779	536997
666	1077756	538070
667	1078291	535917
668	1081694	535188
669	1081861	532857
670	1082065	530550
671	1088535	531308
672	1088773	529017
673	1095804	530018
674	1102510	530838
675	1102761	528542
676	1103032	526262
677	1103350	524010
678	1105003	522394
679	1105574	520270
680	1112291	521029
681	1112479	518722
682	1119134	519422
683	1119227	517070
684	1119395	514758
685	1123079	514062
686	1123199	511734
687	1123457	509474
688	1123750	507236
689	1123869	504926
690	1123943	502602
691	1124973	500710
692	1125365	498538
693	1125599	496301
694	1125827	494068
695	1126046	491836
696	1126391	489665
697	1126566	487425
698	1126910	485264
699	1127168	483072
700	1134003	483690
701	1134587	481633
702	1134915	479473
703	1135100	477258
704	1135274	475043
705	1142062	475589
706	1142296	473398
707	1145673	472509
708	1145829	470291
709	1146773	468400
710	1147751	466526
711	1154653	467050
712	1155199	464996
713	1155349	462787
714	1155549	460603
715	1155632	458379
716	1155886	456228
717	1156112	454071
718	1163020	454532
719	1163154	452337
720	1163387	450187
721	1163492	447993
722	1163698	445842
723	1164220	443818
724	1171560	444384
725	1171747	442229
726	1172309	440220
727	1172833	438201
728	1173139	436105
729	1173238	433937
730	1173316	431767
731	1179995	432020
732	1180595	430039
733	1187086	430197
734	1187156	428022
735	1190499	427027
736	1190656	424888
737	1190736	422727
738	1190940	420616
739	1191103	418495
740	1191638	416510
741	1191828	414409
742	1198449	414537
743	1198565	412409
744	1200046	410754
745	1200121	408620
746	1200370	406551
747	1200507	404449
748	1201337	402584
749	1207838	402612
750	1208221	400595
751	1208404	398516
752	1208563	396434
753	1215406	396538
754	1215980	394589
755	1216218	392536
756	1216391	390466
757	1216906	388510
758	1217453	386569
759	1217559	384492
760	1217717	382436
761	1218678	380637
762	1218925	378617
763	1219060	376568
764	1219597	374647
765	1219713	372601
766	1223151	371570
767	1223727	369667
768	1223817	367622
769	1223980	365604
770	1224104	363579
771	1227704	362586
772	1229410	361029
773	1235931	360879
774	1239513	359858
775	1239898	357908
776	1240064	355900
777	1240305	353917
778	1240491	351923
779	1240596	349911
780	1240770	347924
781	1241302	346040
782	1241471	344060
783	1241792	342126
784	1242045	340178
785	1243637	338598
786	1243975	336679
787	1250727	336490
788	1250791	334495
789	1251193	332595
790	1252851	331031
791	1253039	329081
792	1253540	327216
793	1260233	326962
794	1260445	325020
795	1264001	323940
796	1264083	321968
797	1264967	320204
798	1265865	318446
799	1265958	316489
800	1269578	315413
801	1269740	313477
802	1269968	311561
803	1271514	309971
804	1271706	308053
805	1273389	306498
806	1276933	305388
807	1277051	303457
808	1277272	301556
809	1284117	301212
810	1285904	299674
811	1292753	299307
812	1292914	297386
813	1300256	297110
814	1300383	295179
815	1307468	294821
816	1307626	292895
817	1307913	291002
818	1308239	289122
819	1315224	288707
820	1315618	286839
821	1315715	284911
822	1315876	283001
823	1316444	281182
824	1319895	279977
825	1320473	278162
826	1320630	276262
827	1327510	275762
828	1328648	274063
829	1328770	272157
830	1328977	270273
831	1335938	269756
832	1336097	267861
833	1337294	266176
834	1337407	264278
835	1339162	262706
836	1339662	260890
837	1348134	260617
838	1356877	260378
839	1361253	259286
840	1362934	257677
841	1371698	257397
842	1371867	255496
843	1372078	253606
844	1373175	251884
845	1373342	249993
846	1373680	248138
847	1373789	246245
848	1374148	244400
849	1374318	242526
850	1374605	240677
851	1374948	238840
852	1375648	237069
853	1376066	235252
854	1376157	233383
855	1376833	231616
856	1385439	231176
857	1387452	229624
858	1387889	227814
859	1388106	225970
860	1388280	224124
861	1388742	222327
862	1389119	220520
863	1389596	218732
864	1389755	216898
865	1389910	215067
866	1390108	213246
867	1390272	211423
868	1390447	209607
869	1397190	208775
870	1398227	207085
871	1398626	205302
872	1398938	203511
873	1399233	201720
874	1399342	199906
875	1399495	198102
876	1400033	196355
877	1400142	194552
878	1403771	193238
879	1404783	191561
880	1404912	189766
881	1405837	188082
882	1405965	186294
883	1406500	184563
884	1407435	182887
885	1407783	181136
886	1408740	179467
887	1408891	177698
888	1410585	176124
889	1410770	174364
890	1418632	173547
891	1418950	171801
892	1427905	171092
893	1428034	169319
894	1428217	167556
895	1436903	166783
896	1436978	165004
897	1437196	163245
898	1439031	161670
899	1439219	159913
900	1442718	158522
901	1442878	156765
902	1443881	155101
903	1450756	154062
904	1450944	152309
905	1452575	150708
906	1452651	148948
907	1452818	147201
908	1453008	145460
909	1453090	143712
910	1453254	141975
911	1454752	140370
912	1454890	138636
913	1455340	136935
914	1455444	135205
915	1455577	133480
916	1462329	132359
917	1462713	130656
918	1463120	128958
919	1463318	127245
920	1463514	125534
921	1465246	123957
922	1465417	122250
923	1470062	120914
924	1470198	119205
925	1470371	117502
926	1473955	116072
927	1474081	114368
928	1474447	112686
929	1477817	111233
930	1477907	109533
931	1477990	107836
932	1478548	106176
933	1478680	104489
934	1485392	103262
935	1485555	101576
936	1485730	99894
937	1485921	98216
938	1486043	96537
939	1486412	94877
940	1486762	93218
941	1493966	91985
942	1494217	90318
943	1494530	88658
944	1501014	87360
945	1501650	85717
946	1509157	84461
947	1509277	82787
948	1512622	81289
949	1512771	79619
950	1519663	78300
951	1523300	76805
952	1525084	75214
953	1525398	73551
954	1525586	71886
955	1525773	70223
956	1525909	68562
957	1526260	66913
958	1532856	65534
959	1532954	63873
960	1533505	62233
961	1533654	60580
962	1533818	58931
963	1533966	57285
964	1543100	55967
965	1543475	54325
966	1544353	52702
967	1544592	51060
968	1544734	49418
969	1556335	48134
970	1556512	46486
971	1556827	44846
972	1557120	43208
973	1557343	41571
974	1559821	39995
975	1560049	38361
976	1560318	36732
977	1569945	35315
978	1570383	33685
979	1570495	32050
980	1578615	30574
981	1579536	28952
982	1579715	27319
983	1580241	25694
984	1580439	24067
985	1587494	22540
986	1587745	20912
987	1587887	19286
988	1588086	17663
989	1588457	16045
990	1588596	14427
991	1588702	12812
992	1588839	11200
993	1589200	9592
994	1589338	7986
995	1590996	6389
996	1591924	4790
997	1598658	3203
998	1598992	1600
999	1599355	0
