iter	Logloss
0	0.4841583491
1	0.3778581871
2	0.3310870065
3	0.2984121427
4	0.2739382552
5	0.2629986056
6	0.2486497352
7	0.2366682928
8	0.235296634
9	0.2254357091
10	0.2215959671
11	0.2114704381
12	0.2112450428
13	0.2108408289
14	0.2018316943
15	0.1994408794
16	0.1990941392
17	0.1977713157
18	0.1965484686
19	0.196324984
20	0.195409008
21	0.1911081622
22	0.1886020855
23	0.1862350197
24	0.1839735242
25	0.1836235284
26	0.1828929389
27	0.1815307856
28	0.1801040501
29	0.1771446304
30	0.1771367794
31	0.1754994699
32	0.1754320065
33	0.1754189275
34	0.1736853361
35	0.1725648516
36	0.1713841341
37	0.170454081
38	0.1703558164
39	0.1700128725
40	0.1669290604
41	0.1665840507
42	0.1646826665
43	0.1628509844
44	0.1628507224
45	0.162482838
46	0.1619502507
47	0.1619499947
48	0.1619212526
49	0.1612947328
50	0.1609904438
51	0.1607556113
52	0.1606070742
53	0.1604754174
54	0.1603479177
55	0.1595020388
56	0.1586082142
57	0.1586061746
58	0.1582849403
59	0.1582500856
60	0.1582434746
61	0.1579742199
62	0.1578746537
63	0.157605759
64	0.1575914028
65	0.15734362
66	0.1567731969
67	0.1560907299
68	0.1554074827
69	0.1554010528
70	0.154263451
71	0.1542598488
72	0.1541169128
73	0.154088057
74	0.1538548036
75	0.1534722387
76	0.1534623676
77	0.152881928
78	0.1523137061
79	0.1521192377
80	0.1521187975
81	0.152034344
82	0.1515079792
83	0.151424763
84	0.1513084624
85	0.151173435
86	0.1503175216
87	0.1502976382
88	0.1498126339
89	0.1494556742
90	0.1493270412
91	0.1490654636
92	0.1483173602
93	0.1482051233
94	0.1480795048
95	0.1480783808
96	0.1480584928
97	0.1480547585
98	0.1479261795
99	0.1478739502
100	0.1478448947
101	0.1475865855
102	0.1474949195
103	0.1474293688
104	0.147421715
105	0.1473970523
106	0.1473970439
107	0.147301509
108	0.1466706636
109	0.1466689344
110	0.1466439725
111	0.1465605805
112	0.1465380914
113	0.146422248
114	0.1462183028
115	0.1462071123
116	0.1461953555
117	0.1461327793
118	0.1461194384
119	0.1461181641
120	0.1461099907
121	0.1458788604
122	0.145351615
123	0.1453466987
124	0.1453432941
125	0.145252583
126	0.1452483337
127	0.145191448
128	0.1450096541
129	0.144755138
130	0.1447372523
131	0.1447342554
132	0.1446112069
133	0.1442606047
134	0.1442585876
135	0.1442065278
136	0.144095274
137	0.1437805314
138	0.1432856539
139	0.142938667
140	0.1427789603
141	0.1422800394
142	0.1417356731
143	0.1414761086
144	0.1413727262
145	0.1407789347
146	0.1404523171
147	0.140326792
148	0.1403264589
149	0.1402954251
150	0.140140344
151	0.1397203544
